,scientific_name,decimalLongitude,decimalLatitude
3335,Panthera tigris ssp. corbetti,,
3336,Pan troglodytes,30.5,0.5
3337,Pan troglodytes ssp. schweinfurthii,30.5,0.5
3338,Papasula abbotti,105.675,-10.4167
3339,Papilio chikae,121.103727,16.932609
3340,Papilio godeffroyi,-170.58373,-14.271782
3341,Papilio lampsacus,107.595179,-7.175247
3342,Paracanthocobitis urophthalma,,
3343,Paraclinus magdalenae,-112.011667,24.52
3344,Paragalago zanzibaricus ssp. zanzibaricus,,
3345,Paragalaxias eleotroides,146.69,-41.9594
3346,Paragalaxias mesotes,146.917732,-41.998616
3347,Paragaleus tengi,116.973333,-1.215
3348,Paragus majoranae,2.502995,47.256275
3349,Parakysis anomalopteryx,111.85,0.4
3350,Paralabrax albomaculatus,-88.008333,-0.508333
3351,Paraleptomys rufilatus,140.425385,-2.456901
3352,Paramelita barnardi,,
3353,Paramesotriton guangxiensis,107.199637,22.115123
3354,Paramesotriton zhijinensis,,
3355,Paramyxine taiwanae,121.86,24.58
3356,Parananochromis ornatus,12.8,1.733333
3357,Paranocaracris bulgaricus,24.10572,40.91162
3358,Parantechinus apicalis,115.0,-30.3
3359,Parantica marcia,,
3360,Parantica schoenigi,,
3361,Parantica timorica,,
3362,Parapsilorhynchus elongatus,,
3363,Paraschistura naseeri,,
3364,Parathelphusa batamensis,,
3365,Parathelphusa nagasakti,,
3366,Parauchenoglanis longiceps,14.21605,2.62602
3367,Pardalotus quadragintus,147.17,-41.45
3368,Parepistaurus pugui,,
3369,Paretroplus loisellei,,
3370,Paretroplus nourissati,48.714444,-15.833889
3371,Pareuthymia fasciata,,
3372,Parides burchellanus,-47.611454,-15.771528
3373,Parnassiana tymphiensis,20.9833,40.0667
3374,Parodon alfonsoi,-73.15307,10.23156
3375,Paroedura masobe,48.975,-17.733333
3376,Paroreomyza montana,-156.88678,20.83574
3377,Parosphromenus deissneri,102.48546,2.273246
3378,Parosphromenus harveyi,,
3379,Parosphromenus opallios,,
3380,Parosphromenus paludicola,101.880556,6.083333
3381,Parosphromenus tweediei,,
3382,Partulina mighelsiana,-157.008087,21.166364
3383,Partulina physa,-155.671667,20.023056
3384,Partulina redfieldi,-156.817778,21.09
3385,Partulina splendida,-156.645731,20.880064
3386,Partulina tessellata,-156.950278,21.1425
3387,Parvilacerta fraasii,36.010556,34.250833
3388,Pastinachus gracilicaudus,118.0,6.0
3389,Pateobatis bleekeri,104.772064,-3.069092
3390,Patri david,,
3391,Pauxi pauxi,-67.683333,10.366667
3392,Paxillostium nanum,173.48638,-35.19555
3393,Pedostibes tuberculosus,75.141721,13.289798
3394,Pelecocera nigricornis,-17.836894,28.61426
3395,Pelophylax tenggerensis,104.998939,37.468397
3396,Peltophryne fracta,-68.76798589852872,18.607109702114094
3397,Peltophryne longinasus,-83.7333,22.4833
3398,Penelope ortoni,-78.8,0.0
3399,Penelopides panini,125.470677,6.939398
3400,Percina antesella,-84.753611,35.000833
3401,Percina brevicauda,-87.078507,33.019265
3402,Percina pantherina,-94.345677,34.545949
3403,Perdicula manipurensis,90.733333,26.1
3404,Periaeschna sanoi,,
3405,Pericnemis bonita,,
3406,Pericnemis gili,,
3407,Pericnemis lestoides,,
3408,Pericnemis yakal,,
3409,Peringueyella rentzi,,
3410,Perodicticus potto ssp. juju,,
3411,Peromyscus melanocarpus,0.0014843956350787046,0.00192741763543675
3412,Peromyscus ochraventer,-99.20817480156087,23.098231292751038
3413,Peromyscus winkelmanni,-102.925,18.441667
3414,Petaurus gracilis,145.809178,-18.04026
3415,Pethia manipurensis,93.849998,24.709999
3416,Pethia sharmai,80.053479,12.799
3417,Petrogale concinna,133.07,-12.33
3418,Petroica multicolor,147.28104,-42.838618
3419,Petropedetes euskircheni,9.681944,4.828333
3420,Petrus rupestris,18.4472,-34.1925
3421,Pettancylus toroensis,,
3422,Pezichthys compressus,148.405,-38.5567
3423,Pezzolia radapalladis,,
3424,Phaeognathus hubrichti,-86.71613384527566,31.585374385357785
3425,Phalacrocorax capensis,24.83641,-34.14155
3426,Phalacrocorax neglectus,18.0833,-33.4333
3427,Phalanger lullulae,,
3428,Phaloria insularis ssp. insularis,,
3429,Phalotris nigrilatus,,
3430,Phaner furcifer,44.2667,-22.1167
3431,Phaner parienti,,
3432,Phataginus tricuspis,10.730157,3.233761
3433,Phelsuma flavigularis,47.333333,-24.216666
3434,Phelsuma klemmeri,48.45,-13.633333
3435,Phelsuma rosagularis,57.447997,-20.327748
3436,Phelsuma serraticauda,49.383333,-17.976267
3437,Phenacorhamdia taphorni,-69.68159,9.0818
3438,Philautus cardamonus,,
3439,Philautus cornutus,,
3440,Philautus everetti,118.603,9.7922
3441,Philautus schmackeri,121.101278,12.341739
3442,Philogenia monotis,-78.898713,-0.22932
3443,Philoria loveridgei,153.206299,-28.266486
3444,Philoria richmondensis,152.7,-28.4
3445,Phisalixella variabilis,46.8,-25.083333
3446,Phloeostiba azorica,-25.3222,37.78017
3447,Phocarctos hookeri,-176.540067,-44.005752
3448,Phocoena phocoena ssp. relicta,27.641646,42.580602
3449,Physemacris papillosa,22.366667,-33.4
3450,Pipizella nigriana,17.247,49.592
3451,Pisidium maasseni,,
3452,Pituophis ruthveni,-95.474625,31.414553
3453,Placosoma cipoense,,
3454,Placostylus guanensis,,
3455,Placostylus kantavuensis,,
3456,Placostylus seemanni,-178.633333,-18.683333
3457,Plagigeyeria zetaprotogona,,
3458,Planaeschna asahinai,,
3459,Planaeschna ishigakiana ssp. nagaminei,,
3460,Planorbis macedonicus,,
3461,Platanista gangetica,67.05,29.49916
3462,Platanista gangetica ssp. minor,69.5,27.666667
3463,Plataplochilus terveri,13.545555,-1.537222
3464,Platycheirus muelleri,3.0232,42.53014
3465,Platycypha inyangae,32.774093,-18.576016
3466,Platymantis lawtoni,122.088661,12.5811
3467,Platymantis paengi,122.041183,11.760917
3468,Platymantis spelaeus,122.630714,9.421189
3469,Platyplectrurus madurensis,77.462795,10.374627
3470,Platyrhina sinensis,109.100701,21.504254
3471,Platysticta maculata,80.639999,7.24
3472,Plebejus vogelii,,
3473,Plecoglossus altivelis ssp. ryukyuensis,120.745953,21.977031
3474,Plectostoma palinhelix,101.93,3.83
3475,Plectrohyla avia,-92.654167,15.3625
3476,Plectrohyla lacertosa,-92.654167,15.3625
3477,Plectrohyla psiloderma,-88.67,14.53
3478,Plecturocebus modestus,,
3479,Plethodon stormi,-123.156,42.017199999061724
3480,Plethodontohyla guentheri,49.724264,-14.405549
3481,Pleurobema decisum,-85.6905,34.13
3482,Pleurobema taitianum,-87.398598,32.121498
3483,Pleurodeles poireti,10.18,36.803
3484,Ploceus aureonucha,40.317464,-14.90294
3485,Ploceus golandi,40.02,-3.3
3486,Plyapomus longus,,
3487,Podarcis carbonelli,-9.524257,39.431434
3488,Podarcis lilfordi,2.650075,39.569582
3489,Podisma goidanichi,13.21,42.95
3490,Podogymnura aureospinula,125.61,10.34
3491,Podolestes parvus,111.0584,1.6188
3492,Poecilia sulphuraria,-92.996389,17.551667
3493,Poecilimon ebneri,21.2333,40.7667
3494,Poecilimon paros,25.1833,37.05
3495,Poecilimon soulion,,
3496,Poeciliopsis jackschultzi,-110.8606,30.91926
3497,Poeciliopsis paucimaculata,-83.716667,9.333333
3498,Poecilium kasnaki,,
3499,Poecilotheria formosa,,
3500,Poecilotheria rufilata,,
3501,Poeoptera femoralis,37.649727,0.046678
3502,Pogonotriccus lanyoni,-74.8237,5.922
3503,Polyommatus dama,38.3703,38.3499
3504,Polyommatus theresiae,36.0939,38.0453
3505,Polypedates ranwellai,,
3506,Polyplectron schleiermacheri,113.45,1.883333
3507,Pomarea mendozae,-138.829,-9.9847
3508,Ponticola rizensis,,
3509,Porcula salvania,,
3510,Porites eridani,130.816667,-12.44
3511,Poropanchax myersi,18.327002,0.062896
3512,Poropuntius consternans,,
3513,Poropuntius lobocheiloides,,
3514,Porphyrio hochstetteri,167.468639,-45.249306
3515,Potadoma nyongensis,10.13,3.8
3516,Potadoma trochiformis,14.0,8.5
3517,Potadoma zenkeri,10.416667,3.083333
3518,Potamalpheops amnicus,104.0086,1.8628
3519,Potamilus amphichaenus,-94.949989,30.570503
3520,Potamonautes gonocristatus,26.95,-4.966667
3521,Potamonautes mutandensis,,
3522,Potamonemus sachsi,,
3523,Potomida littoralis,3.3039,48.19494
3524,Praomys obscurus,,
3525,Prasonica anarillea,,
3526,Premnoplex pariae,,
3527,Presbytis canicrus,,
3528,Presbytis melalophos,102.3167,4.05
3529,Presbytis sabana,118.3847,5.6869
3530,Presbytis siamensis ssp. rhionis,,
3531,Presbytis sumatranus,,
3532,Prida sechellensis,55.745278,-4.340833
3533,Priolepis ascensionis,,
3534,Prioniturus luconensis,120.282778,14.8292
3535,Prionotropis azami,6.14425,43.34843
3536,Prisodontopsis aviculaeformis,28.655,-9.382
3537,Pristidactylus valeriae,-71.186648,-34.175334
3538,Pristimantis acerus,-78.056944,-0.386944
3539,Pristimantis acutirostris,-75.6422,4.45044
3540,Pristimantis affinis,-73.864538,5.156595
3541,Pristimantis angustilineatus,-76.17005,4.81992
3542,Pristimantis ardalonychus,-76.269444,-6.4375
3543,Pristimantis aurantiguttatus,-76.3061,6.75973
3544,Pristimantis bacchus,-73.1985,6.10858
3545,Pristimantis baryecuus,-78.5167,-3.05
3546,Pristimantis bellona,-76.3061,6.75973
3547,Pristimantis briceni,,
3548,Pristimantis carlossanchezi,-73.331817,6.874669
3549,Pristimantis carranguerorum,-72.72075,5.34751
3550,Pristimantis colostichos,-71.223495,8.69745
3551,Pristimantis corniger,-75.723889,1.038056
3552,Pristimantis crenunguis,-78.798889,-0.416389
3553,Pristimantis cryophilius,-78.983333,-2.283333
3554,Pristimantis culatensis,,
3555,Pristimantis delicatus,-77.004317,4.553883
3556,Pristimantis dissimulatus,-78.726111,-0.245278
3557,Pristimantis eugeniae,-78.726111,-0.245278
3558,Pristimantis geminus,,
3559,Pristimantis glandulosus,-75.608333,3.468333
3560,Pristimantis helvolus,-75.135,6.304444
3561,Pristimantis hybotragus,-76.91095,3.613741
3562,Pristimantis incanus,-77.616667,-0.116667
3563,Pristimantis lasalleorum,-76.22725,6.252222
3564,Pristimantis lividus,-78.0775,-0.366944
3565,Pristimantis lutitus,-73.0339,6.97436
3566,Pristimantis mnionaetes,-73.221389,5.409444
3567,Pristimantis mutabilis,-78.776666,0.342378
3568,Pristimantis ocellatus,-78.2333,1.0333
3569,Pristimantis orestes,-78.5751,-2.8173
3570,Pristimantis pahuma,-78.691573,0.141391
3571,Pristimantis pardalinus,-75.657867,-11.268367
3572,Pristimantis pariagnomus,,
3573,Pristimantis percultus,,
3574,Pristimantis phalarus,-76.2931,4.75565
3575,Pristimantis prolatus,-78.5167,-3.05
3576,Pristimantis ptochus,-76.2907,4.75237
3577,Pristimantis pycnodermis,-78.55,-3.03333
3578,Pristimantis quantus,-76.2907,4.75237
3579,Pristimantis repens,-76.9023,1.5542
3580,Pristimantis rubicundus,-78.166667,-1.416667
3581,Pristimantis satagius,-76.03,6.45556
3582,Pristimantis serendipitus,-77.895833,-5.723611
3583,Pristimantis simonbolivari,-78.883333,-1.7
3584,Pristimantis sobetes,-78.726111,-0.245278
3585,Pristimantis susaguae,-74.019722,5.058611
3586,Pristimantis thymalopsoides,-78.98333,-0.933333
3587,Pristimantis vanadise,-71.0853,8.74778
3588,Pristimantis viridicans,-76.939539,2.505512
3589,Pristimantis wagteri,,
3590,Pristis clavata,140.291984,-16.809245
3591,Proagoderus uluguru,,
3592,Probarbus labeamajor,104.791331,17.401898
3593,Probreviceps loveridgei,37.666667,-7.166667
3594,Probreviceps rhodesianus,32.88333,-18.7
3595,Probreviceps uluguruensis,37.733333,-6.9
3596,Procambarus apalachicolae,-85.303,29.8119
3597,Procambarus brazoriensis,-95.4755,29.025
3598,Procambarus contrerasi,-97.608333,20.458333
3599,Procambarus econfinae,-85.6603,30.1586
3600,Procambarus escambiensis,-87.345,30.4347
3601,Procambarus horsti,-84.3756,30.1478
3602,Procambarus leitheuseri,-82.52889,28.5175
3603,Procambarus lylei,-89.5237,33.9378
3604,Procambarus orcinus,-84.34759,30.30855
3605,Procambarus zihuateutlensis,-97.925,20.275
3606,Procellaria westlandica,150.91,-34.38
3607,Procordulia lompobatang,,
3608,Proctoporus cephalolineatus,,
3609,Prodasineura abbreviata,115.133,-1.783
3610,Prodasineura quadristigma,115.133,-1.783
3611,Prognathochromis sp. nov. 'long snout',,
3612,Progomphus risi,,
3613,Progomphus zephyrus,-70.63,19.12
3614,Pronothobranchius chirioi,,
3615,Pronothobranchius kiyawensis,-3.78333,8.75
3616,Propithecus edwardsi,47.466667,-21.266667
3617,Prosobonia parvirostris,-134.970337,-23.219618
3618,Prosymna semifasciata,38.566667,-5.116667
3619,Protobothrops sieversorum,105.393015,17.576503
3620,Protogobius attiti,167.0,-22.15
3621,Protosticta lepteca,121.8894,16.2539
3622,Protunio messageri,106.314,21.9791
3623,Provanna clathrata,126.979967,27.514033
3624,Provanna subglabra,123.839908,24.860423
3625,Psammobates tentorius ssp. trimeni,18.724598,-31.48254
3626,Psephotellus chrysopterygius,0.0,0.0
3627,Pseudagrionoptera diotima,,
3628,Pseudagrion torridum ssp. hulae,,
3629,Pseudamnicola geldiayana,,
3630,Pseudamnicola solitaria,,
3631,Pseudavakubia atewaensis,0.54654,6.24558
3632,Pseudechinosoma nodosum,-25.77475,37.88038
3633,Pseudemys alabamensis,-87.904381,30.652236
3634,Pseudicius seychellensis,,
3635,Pseudobarbus afer,25.35,-33.8333
3636,Pseudobarbus capensis,19.4167,-34.2167
3637,Pseudobarbus quathlambae,29.133333,-29.883333
3638,Pseudobarbus sp. nov. 'keiskamma',,
3639,Pseudobarbus verloreni,18.716667,-32.35
3640,Pseudobithynia levantica,,
3641,Pseudoblothrus vulcanus,-27.10629,38.64375
3642,Pseudochazara amymone,20.790001,40.52
3643,Pseudocleopatra bennikei,13.45,-5.83
3644,Pseudocurimata patiae,-78.142014,1.673938
3645,Pseudoeurycea altamontana,-99.325,19.058333
3646,Pseudoeurycea conanti,-97.00726593954695,16.46048889869205
3647,Pseudoeurycea juarezi,-96.45003411087168,17.55071523083212
3648,Pseudoeurycea longicauda,-100.43013374353552,19.310619392031057
3649,Pseudoeurycea melanomolga,-97.249167,19.632222
3650,Pseudoeurycea nigromaculata,-95.3000086929149,18.150689571722076
3651,Pseudoeurycea orchimelas,-95.15,18.49
3652,Pseudoeurycea ruficauda,-97.0,18.174167
3653,Pseudoeurycea werleri,-95.194167,18.562778
3654,Pseudogekko hungkag,123.9273,13.7902
3655,Pseudohynobius jinfo,,
3656,Pseudomogoplistes byzantius,,
3657,Pseudomugil ivantsoffi,,
3658,Pseudomugil mellis,153.1,-26.5
3659,Pseudomyrmecion ramalinum,,
3660,Pseudomystus myersi,111.85,0.4
3661,Pseudonympha swanepoeli,30.03,-25.68
3662,Pseudophilautus alto,80.715471,6.874716
3663,Pseudophilautus auratus,80.767541,6.461335
3664,Pseudophilautus conniffae,,
3665,Pseudophilautus femoralis,80.403611,6.725708
3666,Pseudophilautus fulvus,80.736763,7.556823
3667,Pseudophilautus hoffmanni,80.622377,7.589389
3668,Pseudophilautus limbus,,
3669,Pseudophilautus nemus,80.554721,6.837501
3670,Pseudophilautus sarasinorum,80.546285,6.998826
3671,Pseudophilautus semiruber,,
3672,Pseudophilautus silvaticus,80.455971,6.41186
3673,Pseudophilautus steineri,80.604575,7.513249
3674,Pseudophilautus viridis,80.638471,6.804582
3675,Pseudophilotes fatma,-5.116667,33.533333
3676,Pseudophoxinus anatolicus,31.71667,37.68333
3677,Pseudophoxinus crassus,34.06667,37.51667
3678,Pseudophoxinus egridiri,29.9,37.83333
3679,Pseudophoxinus fahrettini,,
3680,Pseudophoxinus hittitorum,,
3681,Pseudophoxinus punicus,8.0,36.2167
3682,Pseudophryne pengilleyi,148.8,-35.3
3683,Pseudoprumna baldensis,11.533056,45.933333
3684,Pseudorasbora pumila,139.064714,37.943228
3685,Pseudosphegesthes bergeri,,
3686,Pseudotropheus brevis,35.142508,-14.250347
3687,Pseudoyersinia canariensis,,
3688,Psilota nana,21.964105,44.02863
3689,Psittacus timneh,7.4,1.63333
3690,Pteralopex anceps,,
3691,Pterapogon kauderni,123.55,-1.61667
3692,Pternistis camerunensis,9.2,4.1667
3693,Pternoscirtus aldabrae,,
3694,Pterocryptis barakensis,92.169998,21.09
3695,Pterocryptis wynaadensis,47.8167,30.5167
3696,Pterodroma atrata,-128.34796,-24.350391
3697,Pterodroma cahow,-64.678144,32.379527
3698,Pterodroma incerta,-49.116667,-34.633333
3699,Pterodroma sandwichensis,-156.85,21.13
3700,Pterolepis elymica,12.5293,38.0044
3701,Pteronotus paraguanensis,,
3702,Pteropus aldabrensis,46.376154,-9.286154
3703,Pteropus faunulus,,
3704,Pteropus mariannus,145.78378,16.62567
3705,Pteropus molossinus,158.2325,6.906944
3706,Pteropus nitendiensis,,
3707,Pteropus pselaphon,142.218506,27.125332
3708,Pteropus rodricensis,63.416667,-19.683333
3709,Pteropus ualanus,162.849974,5.341774
3710,Ptilinopus chrysogaster,-151.45,-16.82
3711,Ptychadena nana,,
3712,Ptychobranchus greenii,-86.801048,33.808414
3713,Ptychochromis loisellei,49.952,-13.98
3714,Ptychochromis sp. nov. 'Green Garaka',,
3715,Ptychodon schuppi,,
3716,Puffinus bannermani,141.15,24.7833
3717,Pulchrana centropeninsularis,101.122397,-0.115139
3718,Pungitius stenurus,,
3719,Puntius crescentus,,
3720,Puntius kamalika,80.163234,6.849429
3721,Purpuraria erna,,
3722,Pusa caspica,53.945618,36.888408
3723,Pycnomerus italicus,,
3724,Pygomeles petteri,46.817333,-16.31355
3725,Pyrenaearia organiaca,1.255277,42.152491
3726,Pyrgulopsis aloba,-115.701,38.9502
3727,Pyrgulopsis cruciglans,-114.68,40.5475
3728,Pyriglena atra,-38.715534,-12.57534
3729,Pyrrhosoma elisabethae,20.189095,39.918427
3730,Pyrrhura caeruleiceps,,
3731,Pyrrhura griseipectus,-39.00627,-4.301564
3732,Pyrrhura pfrimeri,-46.859135,-13.780038
3733,Quasipaa boulengeri,107.724,27.972
3734,Quasipaa shini,,
3735,Quilticohyla erythromma,-99.47,17.32
3736,Quilticohyla zoque,-94.65383,17.054167
3737,Radiodiscus amdenus,,
3738,Radix skutaris,,
3739,Raja ocellifera,22.807676,-34.024895
3740,Raja undulata,-1.221001,50.752447
3741,Ramphastos ariel,-48.25,-1.21
3742,Ramphomicron dorsale,-74.0446,11.1088
3743,Ramphotyphlops suluensis,,
3744,Rana pyrenaica,0.15587,42.36146
3745,Rana tavasensis,29.717097,36.730152
3746,Ranodon sibiricus,75.036,39.712
3747,Raorchestes nerostagona,75.790833,12.140658
3748,Raorchestes tinniens,76.639326,11.56532
3749,Raphismia inermis,113.933518,-2.587938
3750,Rasbora naggsi,,
3751,Rasboroides vaterifloris,80.237267,6.374649
3752,Rattus hainaldi,,
3753,Rattus ranjiniae,,
3754,Rattus vandeuseni,145.10554425593082,-6.692552630650897
3755,Redunca fulvorufula,36.08333,0.63333
3756,Redunca fulvorufula ssp. fulvorufula,30.0,-29.0
3757,Reithrodontomys bakeri,-99.840556,17.615944
3758,Reithrodontomys tenuirostris,-91.916672,15.03333
3759,Retinella osoriensis,,
3760,Rhabdotorrhinus corrugatus,114.20674,4.556377
3761,Rhacocleis japygia,16.566688,40.888842
3762,Rhacophorus calcadensis,77.384209,8.527809
3763,Rhacophorus helenae,107.193474,11.355342
3764,Rhacophorus vampyrus,108.714897,12.1864
3765,Rhadinaea montana,-100.220278,24.876111
3766,Rhadinella hempsteadae,-91.616667,15.516667
3767,Rhaebo caeruleostictus,-79.4633,-2.222572
3768,Rhainopomma wapugu,,
3769,Rhampholeon platyceps,35.592886,-15.955144
3770,Rhampholeon temporalis,38.783333,-4.966667
3771,Rhampholeon viridis,37.633335,-3.75
3772,Rheocles alaotrensis,48.5,-17.5
3773,Rheocles wrightae,48.266667,-19.283333
3774,Rhinagrion schneideri,,
3775,Rhincodon typus,112.683,7.16667
3776,Rhinella acrolopha,-77.922023,8.271292
3777,Rhinella arequipensis,-71.535,-16.3989
3778,Rhinella cristinae,-75.907194,1.734889
3779,Rhinella lindae,,
3780,Rhinella tenrec,-76.4,7.01667
3781,Rhinella yanachaga,,
3782,Rhinobatos borneensis,116.831325,6.901238
3783,Rhinobatos penggali,115.167,-8.75
3784,Rhinocypha hageni,,
3785,Rhinocypha ogasawarensis,,
3786,Rhinocypha pelengensis,123.191181,-1.436604
3787,Rhinocypha togeanensis,121.86667,-0.433333
3788,Rhinocypha virgulata,121.479164,-2.5375
3789,Rhinogobius biwaensis,,
3790,Rhinolophus belligerator,,
3791,Rhinolophus guineensis,-7.50528,7.50889
3792,Rhinolophus mabuensis,,
3793,Rhinolophus montanus,125.233333,-8.466667
3794,Rhinolophus proconsulis,,
3795,Rhinolophus ruwenzorii,29.7947,1.36832
3796,Rhinolophus ziama,-9.380282,8.253969
3797,Rhinophis dorsimaculatus,79.833333,7.866667
3798,Rhinophis homolepis,80.598778,7.213858
3799,Rhinophis philippinus,80.586,6.7141
3800,Rivulus berovidesi,,
3801,Romerolagus diazi,0.0,0.0
3802,Rostratula australis,146.4,-30.666
3803,Rucervus eldii,80.0,28.0
3804,Rulyrana saxiscandens,-76.3,-6.461111
3805,Rusa alfredi,123.016701,9.65
3806,Rutilus ylikiensis,23.31,38.4
3807,Sabaterpia hispanica,,
3808,Saccopteryx antioquensis,-73.933333,6.3
3809,Sadies gibbosa,,
3810,Sagittarius serpentarius,28.292492,-26.188915
3811,Sahyadria denisonii,76.252559,9.947054
3812,Saiga tatarica ssp. tatarica,,
3813,Saimiri oerstedii ssp. citrinellus,-84.900001,10.2
3814,Saimiri vanzolinii,-64.944861,-2.979483
3815,Salenthydrobia ferrerii,,
3816,Salmo obtusirostris,19.5,44.5
3817,Salmo peristericus,21.19,40.85
3818,Salpesia soricina,,
3819,Salvelinus japonicus,139.166667,35.75
3820,Salvelinus willoughbii,,
3821,Samoana diaphana,-149.56222,-17.56168
3822,Samoa sechellana,,
3823,Sandelia bainsii,27.24,-32.919998
3824,Sangabasis bukid,,
3825,Sangabasis furcata,,
3826,Sangabasis janvantoli,,
3827,Sanopus reticulatus,-89.184324,21.995836
3828,Sapajus flavius,-34.989506,-6.850494
3829,Saphenophis sneiderni,-76.184465,4.834181
3830,Sarcocheilichthys biwaensis,,
3831,Sarcohyla cembra,-96.47003716347517,16.07634937184444
3832,Sarcohyla labeculata,-96.026939,17.256667
3833,Sarcohyla thorectes,-97.15,16.22
3834,Sardinella tawilis,121.01245,13.986845
3835,Sarophorus punctatus,23.45,-34.0
3836,Sason sechellanum,55.22113,-4.47712
3837,Sauvagella robusta,48.714167,-15.833611
3838,Saxurinator montenegrinus,,
3839,Sayamia melanodactylus,104.620676,11.467003
3840,Scaphirhynchus albus,-92.55671,38.969223
3841,Scarus trispinosus,-38.685,-17.952222
3842,Sceloporus cyanostictus,-101.358333,26.355556
3843,Scheloribates evanescens,,
3844,Schismatorhynchos nukta,76.46701,15.338051
3845,Schistura afasciata,,
3846,Schistura bolavenensis,106.543,15.0705
3847,Schistura kangjupkhulensis,,
3848,Schistura minuta,,
3849,Schistura nudidorsum,104.75,16.85
3850,Schistura quasimodo,103.083,18.588
3851,Schistura sijuensis,90.68,25.35
3852,Schistura tigrina,,
3853,Sciotropis lattkei,,
3854,Scleromystax macropterus,-46.923528,-24.219139
3855,Sclerophrys pantherina,18.456112,-34.053333
3856,Scolecomorphus uluguruensis,37.594179,-7.057665
3857,Scorpaena mellissii,,
3858,Scottiola salticiformis,,
3859,Scutiger liupanensis,,
3860,Scutiger pingwuensis,,
3861,Scytalopus diamantinensis,-41.4334,-12.5167
3862,Scytalopus iraiensis,-49.0603,-25.5831
3863,Scytalopus robbinsi,-79.761536,-3.649259
3864,Scytodes pholcoides,,
3865,Sebastolobus alascanus,-133.462,56.1389
3866,Sechelliosoma forcipatum,,
3867,Selasphorus ardens,-81.787,8.503
3868,Semisulcospira morii,136.215,35.259899
3869,Semnopithecus vetulus,80.0167,6.7667
3870,Semnopithecus vetulus ssp. philbricki,,
3871,Semperdon uncatus,134.486389,7.301667
3872,Serratorotula juliformis,-16.322969,33.084849
3873,Setophaga angelae,-105.017222,21.513889
3874,Setophaga flavescens,-77.009869,26.601268
3875,Sewellia patella,108.351,14.0428
3876,Seychellesia longicercata,,
3877,Seychellia wiljoi,,
3878,Sheppardia aurantiithorax,36.569722,-6.829722
3879,Sheppardia montana,38.3,-4.7
3880,Shinkailepas myojinensis,139.8667,32.1033
3881,Shinkailepas tufari,151.663305,-3.718719
3882,Siamthelphusa holthuisi,,
3883,Sicista kazbegica,,
3884,Sicydium adelum,-83.0625,9.920833
3885,Sicyopterus rapa,-144.3,-27.6
3886,Sicyopus jonklaasi,,
3887,Sierraia expansilabrum,,
3888,Sigaloseps pisinnus,,
3889,Sillago parvisquamis,134.943196,33.839319
3890,Silverstoneia dalyi,,
3891,Silverstoneia punctiventris,-77.216667,6.093333
3892,Sinocyclocheilus tingi,102.9,24.6
3893,Sinployea princei,,
3894,Sitana bahiri,,
3895,Sitana schleichi,,
3896,Sitta magna,99.42,19.0
3897,Skiffia lermae,-101.734277,19.450734
3898,Smilosicyopus sasali,-178.136,-14.283
3899,Solisorex pearsoni,80.76667,7.3
3900,Somanniathelphusa taiwanensis,120.483333,23.45
3901,Sooglossus sechellensis,55.433333,-4.65
3902,Sotalia fluviatilis,-71.5,9.666667
3903,Spalax antiquus,,
3904,Spathogyna fezi,-0.49,39.860001
3905,Speleomantes supramontis,-2.8964,40.2989
3906,Spermophilus citellus,28.593471,44.174315
3907,Sphaerichthys vaillanti,112.383333,0.733333
3908,Sphaerodactylus armasi,-74.15,20.25
3909,Sphaerodactylus beattyi,-64.620493,17.787137
3910,Sphaerodactylus dacnicolor,-76.461208,18.179982
3911,Sphaerodactylus inaguae,-74.531427,24.05263
3912,Sphaerodactylus ladae,-71.1364,18.3378
3913,Sphaerodactylus ocoae,-70.45942390223415,18.360721017897166
3914,Sphaerodactylus omoglaux,-71.9767,18.51667
3915,Sphaerodactylus parkeri,-77.566152,17.871164
3916,Sphaerodactylus perissodactylius,-71.0331,18.3442
3917,Sphaerodactylus pimienta,-75.5094,19.9922
3918,Sphaerodactylus randi,-71.396896,17.7883
3919,Sphaerodactylus richardsoni,,
3920,Sphaerodactylus scapularis,-78.98694,1.64167
3921,Sphaerodactylus semasiops,-77.510106,18.209919
3922,Sphaerodactylus storeyae,-82.8333,21.6667
3923,Sphaerodactylus torrei,-75.8219,20.0247
3924,Sphaerolana affinis,-102.083,26.9833
3925,Sphaeromimus inexpectatus,46.6561,-24.9542
3926,Sphegina limbipennis,-4.95,36.583
3927,Sphegina varifacies,6.651,44.134
3928,Spheniscus mendiculus,-90.97063,-0.95557
3929,Sphenomorphus modiglianii,99.62174,-2.10545
3930,Sphenomorphus sarasinorum,120.30055629981435,-1.4077317323415588
3931,Sphincterochila insularis,,
3932,Sphingonotus nodulosus,-9.25,39.416667
3933,Sphingonotus picteti,-16.616667,28.083333
3934,Sphingonotus uvarovi,8.80918,41.61566
3935,Sphyrna tiburo,-38.588958,-12.848862
3936,Spinomantis microtis,46.78471,-24.75289
3937,Spintherobolus leptoura,,
3938,Spiralix valenciana,-0.35,39.91
3939,Spiralothelphusa parvula,,
3940,Spiromanes sechellarum,,
3941,Spizella wortheni,-99.75,23.573333
3942,Spondylurus fulgidus,-77.178833,17.707242
3943,Spondylurus powelli,-63.087264,18.206348
3944,Sporophila maximiliani,-40.600278,-19.935556
3945,Springeratus polyporatus,57.466667,-20.516666
3946,Squalius castellanus,,
