taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
60208,Centrophorus tessellatus,,,,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,CENTROPHORIDAE,Centrophorus,Mosaic Gulper Shark,"Garman, 1906",2021,2019-08-28,EN,A2d,Decreasing,True,False,False,"Rigby, C.L., Finucci, B., Walls, R.H.L., Derrick, D., Herman, K. & Tanaka, S.","Daley, R.K. & Dulvy, N.K.",,,,,260.0,820.0,,,,
41745,Centrophorus uyato,,,,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,CENTROPHORIDAE,Centrophorus,Little Gulper Shark,"(Rafinesque, 1810)",2020,2019-11-21,EN,A2bd,Decreasing,True,False,False,"Finucci, B., Bineesh, K.K., Cotton, C.F., Dharmadi, Kulka, D.W., Neat, F.C., Pacoureau, N., Rigby, C.L., Tanaka, S. & Walker, T.I.","Daley, R.K. & Dulvy, N.K.",,,,,50.0,1400.0,,,,
139069191,Cephalaeschna algorei,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Cephalaeschna,,"Karube &amp; Kompier, 2017",2021,2020-04-25,EN,"B2ab(ii,iii)",Decreasing,False,True,True,"Dow, R.A. & Kompier, T.","Clausnitzer, V.",20-500,,1000.0,1000.0,,,,,,
196831,Cephalocassis manillensis,,,,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ARIIDAE,Cephalocassis,,"(Valenciennes, 1840)",2021,2020-08-10,EN,B1ab(iii),Unknown,False,True,False,"Torres, A.G., Ame, E.C. & Kesner-Reyes, K.","Leander, N.J.S.",,3892,,,,,,,,
39765,Cephalopachus bancanus ssp. saltator,saltator,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Cephalopachus,Belitung Island Tarsier,"Elliot, 1910",2020,2015-11-23,EN,B1ab(iii),Decreasing,False,False,True,"Shekelle, M. & Yustian, I.","Molur, S. & Mittermeier, R.A.",,4800-5372,100.0,0.0,,,,,,
4140,Cephalophus jentinki,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,Jentink's Duiker,"Thomas, 1892",2016,2016-01-07,EN,C1,Decreasing,False,False,True,IUCN SSC Antelope Specialist Group,"Hoffmann, M. & Mallon, D.",,,1200.0,0.0,,,,,,
4147,Cephalophus nigrifrons ssp. rubidus,rubidus,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,Rwenzori Red Duiker,"Thomas, 1901",2016,2016-01-07,EN,"B1ab(iii,v)",Decreasing,False,False,True,IUCN SSC Antelope Specialist Group,"Hoffmann, M. & Mallon, D.",,3172,4200.0,1300.0,,,,,,
4151,Cephalophus spadix,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,Abbott's Duiker,"True, 1890",2016,2016-01-07,EN,C2a(i),Decreasing,False,False,True,"Moyer, D., Jones, T. & Rovero, F.","Hoffmann, M. & Mallon, D.",,,2800.0,300.0,,,,,,
22700933,Cephalopterus glabricollis,,,,EN,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,COTINGIDAE,Cephalopterus,Bare-necked Umbrellabird,"Gould, 1851",2021,2020-08-24,EN,C2a(ii),Decreasing,False,False,True,BirdLife International,"Clark, J.",,35000,2100.0,100.0,,,,,,
4162,Cephalorhynchus hectori,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Cephalorhynchus,Hector's Dolphin,"(van Beneden, 1881)",2013,2008-07-01,EN,A4d,Decreasing,True,False,False,"Reeves, R.R., Dawson, S.M., Jefferson, T.A., Karczmarski, L., Laidre, K., O’Corry-Crowe, G., Rojas-Bracho, L., Secchi, E.R., Slooten, E., Smith, B.D., Wang, J.Y. & Zhou, K.","Brownell Jr., R.L. & Cooke, J.",,,,,,,,,,
184713,Ceratophallus crassus,,,,EN,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Ceratophallus,,"(Mandahl-Barth, 1954)",2017,2016-02-09,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Decreasing,False,True,False,"Van Damme, D. & Lange, C.","Seddon, M.B.",20-40,1500-3500,,,,,,,True,"Point locality records for this species were recently compiled by D. Van Damme. As a result of these records, there has been a slight extension to the previously published distribution range for this species.&#160;These point locality records are also now displayed on the distribution map."
170383,Ceratophora aspera,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Ceratophora,Rough Nose Horned Lizard,"Günther, 1864",2021,2019-09-22,EN,B1ab(iii),Unknown,False,False,True,"Amarasinghe, A., Perera, N., Karunarathna, S., de Alwis Goonatilake, S., Gabadage, D., Botejue, M., Wikramanyake, S. & Samarasinghe, D.","Cox, N.A.",,4128,990.0,60.0,,,,,,
197245,Ceratophora stoddartii,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Ceratophora,Mountain Horned Agama,"Gray, 1834",2021,2019-09-15,EN,"B1ab(ii,iii)",Unknown,False,False,True,"Samarawickrama, P., Botejue, M., Amarasinghe, A., Gabadage, D., Jayasekara, D., Karunarathna, S., Perera, N., Pushpamal, V., de Alwis Goonatilake, S. & Wikramanyake, S.","Cox, N.A.",,2591,2300.0,1200.0,,,,,,
4178,Ceratophora tennentii,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Ceratophora,Rhinoceros Agama,"Günther, 1861",2021,2019-09-15,EN,B1ab(iii),Decreasing,False,False,True,"Samarawickrama, P., Botejue, M., Amarasinghe, A., Gabadage, D., Jayasekara, D., Karunarathna, S., Perera, N., Pushpamal, V., de Alwis Goonatilake, S., Wikramanyake, S. & Samarasinghe, D.","Cox, N.A.",,327,1200.0,700.0,,,,,,
47415498,Ceratophyus martinezi,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,GEOTRUPIDAE,Ceratophyus,,"Lauffer, 1909",2015,2014-07-23,EN,"B2ab(ii,iii)",Decreasing,False,False,True,"Verdú, J.R., Lobo, J.M., Tonelli, M., Lumaret, J.P. & Ruiz, J.","Gerlach, J. & Numa, C.",68,37566,1480.0,200.0,,,,,,
47415635,Ceratophyus rossii,,,,EN,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,GEOTRUPIDAE,Ceratophyus,,"Jekel, 1865",2015,2014-07-23,EN,B1ab(iii)+2ab(iii),Decreasing,False,False,True,"Tonelli, M., Dellacasa, M., Verdú, J.R., Ruiz, J. & Lumaret, J.P.","Gerlach, J. & Numa, C.",20,1569.46,50.0,0.0,,,,,,
169827,Cerberus microlepis,,,,EN,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,HOMALOPSIDAE,Cerberus,Lake Buhi Bockadam,"Boulenger, 1896",2010,2009-02-13,EN,"B1ab(iii,v)",Decreasing,False,True,True,"Ledesma, M., Rico, E., Gonzalez, J.C., Brown, R., Murphy, J., Voris, H. & Karns, D.","Livingstone, S.R., Elfes, C.T., Polidoro, B.A. & Carpenter, K.E. (Global Marine Species Assessment Coordinating Team)",19,19,200.0,200.0,,,,,,
4207,Cercocebus chrysogaster,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,Golden-bellied Mangabey,"Lydekker, 1900",2020,2020-01-20,EN,A4cd,Decreasing,False,False,True,"Hart, J.A. & Thompson, J.","Williamson, E.A.",,,500.0,0.0,,,,,,
4206,Cercocebus lunulatus,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,White-naped Mangabey,"(Temminck, 1853)",2020,2019-07-15,EN,A2cd,Decreasing,False,False,True,"Dempsey, A., Gonedelé Bi, S., Matsuda Goodwin, R. & Koffi, A.","Konstant, W.R.",,,,,,,,,,
4203,Cercocebus sanjei,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,Sanje River Mangabey,"Mittermeier, 1986",2019,2016-10-24,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v)",Decreasing,False,False,True,"McCabe, G, Rovero, F., Fernández, D., Butynski, T.M. & Struhsaker, T.T.","Williamson, E.A.",300,1873,2000.0,290.0,,,,,,
4201,Cercocebus torquatus,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,Red-capped Mangabey,"(Kerr, 1792)",2019,2019-01-17,EN,A2abcd+4abcd,Decreasing,False,False,True,"Maisels, F., Oates, J.F., Linder, J., Ikemeh, R., Imong, I. & Etiendem, D.","Williamson, E.A.",,,1000.0,0.0,,,True,This errata version of the assessment was created to correct some  formatting issues (removing the previously visible html codes from the  text).,,
40011,Cercopithecus cephus ssp. ngottoensis,ngottoensis,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,White-nosed Moustached Monkey,"Colyn, 1999",2020,2017-04-20,EN,A2bd,Decreasing,False,False,True,"Maisels, F. & Abernethy, K.","Williamson, E.A.",,,500.0,0.0,,,,,,
4245,Cercopithecus diana,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Diana Monkey,"(Linnaeus, 1758)",2019,2019-03-20,EN,A2cd,Decreasing,False,False,True,"Koné, I., McGraw, S., Gonedelé Bi, S. & Oates, J.F.","Williamson, E.A. & Konstant, W.R.",,,,,,,,,,
4216,Cercopithecus dryas,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Dryas Monkey,"Schwarz, 1932",2021,2019-01-21,EN,D,Unknown,False,False,True,"Hart, J.A., Detwiler, K.M., Alempijevic, D., Lokasola, A. & Rylands, A.B.","Williamson, E.A.",,23941,510.0,380.0,,,,,True,This amended assessment was created to update the text (including the Taxonomic Notes and bibliography) to reflect the species being moved from genus <em>Cercopithecus </em>to <em>Chlorocebus</em>.
4217,Cercopithecus erythrogaster,,,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Red-bellied Monkey,"Gray, 1866",2020,2016-10-24,EN,A2cd+4cd,Decreasing,False,False,True,"Matsuda Goodwin, R., Oates, J.F., Nobimè, G., Segniagbeto, G.H., Ikemeh, R. & Mittermeier, R.A.","Williamson, E.A. & Reuter, K.E.",,136250,400.0,0.0,,,,,,
40004,Cercopithecus erythrogaster ssp. pococki,pococki,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Nigeria White-throated Monkey,"Grubb, Lernould &amp; Oates, 2000",2020,2018-11-05,EN,A2cd+4cd,Decreasing,False,False,True,"Ikemeh, R., Oates, J.F. & Imong, I.","Reuter, K.E. & Williamson, E.A.",,,400.0,0.0,,,,,,
4235,Cercopithecus erythrotis ssp. erythrotis,erythrotis,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Bioko Red-eared Monkey,"Waterhouse, 1838",2020,2019-11-28,EN,"B1ab(i,ii,v)",Decreasing,False,False,True,"Cronin, D.T. & Etiendem, D.","Williamson, E.A.",,1393,3011.0,0.0,,,,,,
4236,Cercopithecus mitis ssp. kandti,kandti,ssp.,,EN,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,Golden Monkey,"Matschie, 1905",2020,2017-07-27,EN,"B1ab(i,ii,iii)",Decreasing,False,False,True,"Butynski, T.M. & de Jong, Y.A.","Reuter, K.E.",500-884,1550,3550.0,2100.0,,,,,,
