taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory
22686239,Amazona vittata,,,,CR
1076,Amblema neislerii,,,,CR
152330878,Amblyrhynchus cristatus ssp. godzilla,godzilla,ssp.,,CR
44177,Amblyrhynchus cristatus ssp. nanus,nanus,ssp.,,CR
44178,Amblyrhynchus cristatus ssp. sielmanni,sielmanni,ssp.,,CR
152331440,Amblyrhynchus cristatus ssp. trillmichi,trillmichi,ssp.,,CR
59050,Ambystoma amblycephalum,,,,CR
59051,Ambystoma andersoni,,,,CR
59055,Ambystoma dumerilii,,,,CR
59061,Ambystoma leorae,,,,CR
1095,Ambystoma mexicanum,,,,CR
59070,Ambystoma taylori,,,,CR
1117,Ameca splendens,,,,CR
29432,Ameerega planipaleae,,,,CR
32492,Amentotaxus argotaenia var. brevifolia,brevifolia,var.,,CR
46294,Amesiella monticola,,,,CR
88585789,Ammannia alternifolia,,,,CR
149257990,Ammannia moggii,,,,CR
19198593,Ammobates dusmeti,,,,CR
63402,Ammopiptanthus nanus,,,,CR
131723625,Amomum riwatchii,,,,CR
19893100,Amorpha crenulata,,,,CR
201756,Amorphophallus interruptus,,,,CR
201757,Amorphophallus lanuginosus,,,,CR
70380486,Amorphophallus lewallei,,,,CR
201759,Amorphophallus synandrifer,,,,CR
180031,Ampelocissus africana var. migeodii,migeodii,var.,,CR
122150350,Amphicnemis madelenae,,,,CR
173699164,Amphicnemis rigiketit,,,,CR
150107127,Amphilophus astorquii,,,,CR
150107133,Amphilophus chancho,,,,CR
150107194,Amphilophus flaveolus,,,,CR
150122729,Amphilophus globosus,,,,CR
150122874,Amphilophus supercilius,,,,CR
169382,Amphilophus zaliosus,,,,CR
74855383,Amphisbaena cayemite,,,,CR
74855790,Amphisbaena gonavensis,,,,CR
74856459,Amphisbaena leali,,,,CR
75161540,Amphisbaena sanctaeritae,,,,CR
163440807,Amphitecna loreae,,,,CR
30569,Amphitecna spathicalyx,,,,CR
43203,Amsinckia marginata,,,,CR
165189,Amsonia orientalis,,,,CR
121984946,Amyris apiculata,,,,CR
126618420,Amyris chiapensis,,,,CR
126618476,Amyris thyrsiflora,,,,CR
166177,Anabarilius andersoni,,,,CR
166094,Anabarilius qiluensis,,,,CR
166068,Anabarilius yangzonensis,,,,CR
49830703,Anablepsoides speciosus,,,,CR
169042589,Anacolosa cauliflora,,,,CR
132415756,Anadelphia pumila,,,,CR
176265,Anapistula ataecina,,,,CR
22680203,Anas laysanensis,,,,CR
44393368,Anathallis kleinii,,,,CR
158276,Ancistrocladus tanzaniensis,,,,CR
1261,Ancylastrum cumingianus,,,,CR
1262,Ancylus ashangiensis,,,,CR
196505,Andasta siltte,,,,CR
55170,Andinobates abditus,,,,CR
77318469,Andinobates geminisae,,,,CR
55210,Andinobates viridis,,,,CR
158169386,Andreadoxa flava,,,,CR
19199315,Andrena labiatula,,,,CR
103896506,Andriana hancocki,,,,CR
1272,Andrias davidianus,,,,CR
45926,Andropogon benthamianus,,,,CR
85748747,Andropogon incomptus,,,,CR
161942,Andryala crithmifolia,,,,CR
13188471,Anemone maxima,,,,CR
1290,Aneuretus simoni,,,,CR
87583629,Angraecopsis thomensis,,,,CR
87583732,Angraecum cribbianum,,,,CR
68501579,Angraecum mahavavense,,,,CR
68501446,Angraecum muscicolum,,,,CR
68501406,Angraecum palmicolum,,,,CR
68501442,Angraecum perhumile,,,,CR
68501478,Angraecum peyrotii,,,,CR
68501336,Angraecum potamophilum,,,,CR
68501420,Angraecum rigidifolium,,,,CR
68501519,Angraecum rubellum,,,,CR
68501561,Angraecum serpens,,,,CR
68501557,Angraecum sterrophyllum,,,,CR
60344,Anguilla anguilla,,,,CR
44393406,Anguloa cliftonii,,,,CR
35218,Aniba novogranatensis,,,,CR
35219,Aniba pedicellata,,,,CR
58010,Anilany helenae,,,,CR
102839222,Anilios insperatus,,,,CR
19672459,Anischnansis burtti,,,,CR
200030437,Anisogomphus ceylonicus,,,,CR
47347526,Anisopappus burundiensis,,,,CR
37684,Anisophyllea globosa,,,,CR
37685,Anisophyllea impressinervia,,,,CR
137370469,Anisophyllea parafallax,,,,CR
162006240,Anisophyllea rubroglandula,,,,CR
33067,Anisoptera megistocarpa,,,,CR
33084,Anisoptera thurifera subsp. thurifera,thurifera,subsp.,,CR
103633718,Annesorhiza laticostata,,,,CR
42817,Annona ecuadorensis,,,,CR
107250314,Annona ferruginea,,,,CR
121392520,Annona frutescens,,,,CR
121392527,Annona gracilis,,,,CR
42818,Annona hystricoides,,,,CR
136750423,Annona longipes,,,,CR
121392536,Annona salicifolia,,,,CR
32531,Anodendron rhinosporum,,,,CR
184637,Anodonta lucasi,,,,CR
184606,Anodonta pallaryi,,,,CR
190943,Anodonthyla theoi,,,,CR
190944,Anodonthyla vallani,,,,CR
22685527,Anodorhynchus glaucus,,,,CR
43919,Anogramma ascensionis,,,,CR
74994414,Anolis altavelensis,,,,CR
178363,Anolis amplisquamosus,,,,CR
203080,Anolis bicaorum,,,,CR
178272,Anolis cusuco,,,,CR
74994974,Anolis darlingtoni,,,,CR
74995219,Anolis ernestwilliamsi,,,,CR
74995297,Anolis eugenegrahami,,,,CR
178278,Anolis juangundlachi,,,,CR
178592,Anolis koopmani,,,,CR
203101,Anolis kreutzi,,,,CR
203108,Anolis monteverde,,,,CR
203109,Anolis morazani,,,,CR
178478,Anolis muralla,,,,CR
74995991,Anolis nelsoni,,,,CR
178336,Anolis nubilus,,,,CR
75085311,Anolis rimarum,,,,CR
1319,Anolis roosevelti,,,,CR
75086730,Anolis singularis,,,,CR
203674,Anolis tenorioensis,,,,CR
203127,Anolis utilensis,,,,CR
50950423,Anolis vanzolini,,,,CR
203128,Anolis villai,,,,CR
125200843,Anomaloglossus degranvillei,,,,CR
125200559,Anomaloglossus dewynteri,,,,CR
47709755,Anonconotus apenninigenus,,,,CR
54468,Ansonia guibei,,,,CR
